Tanggal,Emas,IHSG,Minyak Mentah,Kurs USD/IDR
2019-05-23,597.049,6032.7,837378.6,14460.0
2019-05-24,594.712,6057.35,843832.275,14392.5
2019-05-27,594.313,6098.97,850720.7999999999,14380.0
2019-05-28,590.88,6033.14,850137.5,14375.0
2019-05-29,592.595,6104.11,846864.0,14400.0
2019-05-31,601.114,6209.12,763712.5,14275.0
2019-06-10,608.926,6289.61,758955.0,14250.0
2019-06-11,610.311,6305.99,758431.625,14237.5
2019-06-12,611.56,6276.18,727977.9,14235.0
2019-06-13,617.319,6273.08,746558.4,14280.0
2019-06-14,616.99,6250.27,752205.75,14325.0
2019-06-17,620.991,6190.52,744416.55,14335.0
2019-06-18,618.303,6257.33,771982.75,14322.5
2019-06-19,623.898,6339.26,767128.32,14269.5
2019-06-20,632.639,6335.7,803438.625,14182.5
2019-06-21,635.439,6315.44,812921.65,14155.0
2019-06-24,650.119,6288.46,818706.0,14140.0
2019-06-25,644.18,6320.44,816848.75,14125.0
2019-06-26,642.675,6310.49,841711.5,14175.0
2019-06-27,643.718,6352.71,840340.2,14140.0
2019-06-28,640.195,6358.63,826034.9249999999,14127.5
2019-07-01,629.209,6379.69,833907.625,14112.5
2019-07-02,653.443,6384.9,795234.375,14137.5
2019-07-03,643.423,6362.62,809497.4500000001,14117.5
2019-07-04,645.996,6375.97,803152.0,14140.0
2019-07-05,632.695,6373.48,809884.575,14082.5
2019-07-08,632.717,6351.83,813582.6,14110.0
2019-07-09,635.662,6388.32,817137.9,14130.0
2019-07-10,645.649,6410.68,853875.9,14130.0
2019-07-11,637.868,6417.07,846713.0,14065.0
2019-07-12,636.36,6373.35,843361.47,14007.0
2019-07-15,633.134,6418.23,829323.8099999999,13919.5
2019-07-16,633.136,6401.88,802934.7,13935.0
2019-07-17,640.063,6394.61,793784.4,13980.0
2019-07-18,645.576,6403.29,771988.0,13960.0
2019-07-19,637.829,6456.54,775204.05,13935.0
2019-07-22,638.339,6433.55,783987.9,13945.0
2019-07-23,639.946,6403.81,793871.68,13984.0
2019-07-24,641.427,6384.99,781928.8400000001,13993.0
2019-07-25,635.919,6401.37,783019.55,13977.5
2019-07-26,636.916,6325.24,787024.8,14004.0
2019-07-29,642.137,6299.04,797317.3999999999,14020.0
2019-07-30,644.832,6377.0,813861.0,14020.0
2019-07-31,643.786,6390.5,821115.86,14017.0
2019-08-01,652.928,6381.54,761558.2000000001,14116.0
2019-08-02,659.191,6340.18,789258.7999999999,14180.0
2019-08-05,672.619,6175.7,779605.95,14255.0
2019-08-06,675.206,6119.47,765031.9500000001,14265.0
2019-08-07,688.169,6204.19,726627.525,14222.5
2019-08-08,688.324,6274.67,746488.32,14208.0
2019-08-09,685.073,6282.13,773355.0,14190.0
2019-08-12,692.721,6250.6,782615.175,14247.5
2019-08-13,693.413,6210.96,817529.25,14317.5
2019-08-14,694.758,6267.33,786751.35,14245.0
2019-08-15,703.881,6257.59,777150.725,14267.5
2019-08-16,692.138,6286.66,781074.45,14235.0
2019-08-19,689.926,6296.71,800149.35,14235.0
2019-08-20,693.972,6295.74,803408.4,14260.0
2019-08-21,690.268,6252.97,792883.2,14240.0
2019-08-22,685.394,6239.25,787907.25,14235.0
2019-08-23,686.09,6255.6,769891.125,14212.5
2019-08-26,699.626,6214.51,763833.6,14240.0
2019-08-27,707.415,6278.17,783027.15,14255.0
2019-08-28,704.803,6281.65,795143.9,14255.0
2019-08-29,699.708,6289.12,807408.625,14237.5
2019-08-30,693.544,6328.47,781593.5,14185.0
2019-09-02,700.59,6290.55,775844.0399999999,14194.0
2019-09-03,708.207,6261.59,767296.5,14225.0
2019-09-04,705.581,6269.66,796219.65,14152.5
2019-09-05,690.866,6306.8,796645.0,14150.0
2019-09-06,681.232,6308.95,796649.4,14095.0
2019-09-09,675.404,6326.21,811693.35,14031.0
2019-09-10,671.467,6336.67,806470.0,14050.0
2019-09-11,673.854,6381.95,783845.0,14060.0
2019-09-12,673.762,6342.17,770709.1000000001,13990.0
2019-09-13,668.358,6334.84,765980.25,13965.0
2019-09-16,676.206,6219.44,883116.0,14040.0
2019-09-17,673.197,6236.69,836397.3,14095.0
2019-09-18,678.104,6276.63,817026.6,14060.0
2019-09-19,680.918,6244.47,817307.8,14060.0
2019-09-20,684.938,6231.47,816454.9500000001,14055.0
2019-09-23,688.197,6206.2,825944.4,14085.0
2019-09-24,695.308,6137.61,808505.125,14112.5
2019-09-25,684.741,6146.4,799333.5,14150.0
2019-09-26,687.131,6230.33,799752.7749999999,14177.5
2019-09-27,681.955,6196.89,791965.1499999999,14165.0
2019-09-30,673.947,6169.1,767523.65,14195.0
2019-10-01,675.163,6138.25,762074.25,14212.5
2019-10-02,682.066,6055.42,747224.8,14195.0
2019-10-03,687.82,6038.53,743347.625,14172.5
2019-10-04,683.163,6061.25,746469.35,14135.0
2019-10-07,679.292,6000.58,747071.875,14162.5
2019-10-08,687.596,6039.6,744977.65,14155.0
2019-10-09,689.069,6029.16,745200.3,14170.0
2019-10-10,680.146,6023.64,757812.825,14151.5
2019-10-11,676.316,6105.8,772801.6000000001,14128.0
2019-10-14,678.272,6126.88,757709.01,14139.0
2019-10-15,674.889,6158.17,748053.65,14165.0
2019-10-16,676.163,6169.59,756057.84,14169.0
2019-10-17,678.935,6181.01,763001.64,14148.0
2019-10-18,677.023,6191.95,760691.21,14144.5
2019-10-21,671.389,6198.99,750498.18,14078.0
2019-10-22,674.852,6225.5,760406.3999999999,14040.0
2019-10-23,671.536,6257.81,785203.13,14029.0
2019-10-24,679.378,6339.65,790537.57,14059.0
2019-10-25,678.65,6252.35,795223.1,14035.0
2019-10-28,672.632,6265.38,782735.25,14025.0
2019-10-29,669.908,6281.14,778948.5,14025.0
2019-10-30,672.614,6295.75,772326.62,14027.0
2019-10-31,681.805,6228.32,760524.66,14037.0
2019-11-01,681.038,6207.19,788767.0,14035.0
2019-11-04,681.187,6180.34,792408.1,14015.0
2019-11-05,670.281,6264.15,799360.0249999999,13967.5
2019-11-06,671.419,6217.54,789745.25,14015.0
